Time,Latitude,Longitude,CO2_2014_(ppm)
2014-09-07,-41.547550201416016,175.23870849609375,396.5411
2014-09-07,-41.403011322021484,175.20558166503906,397.33896
2014-09-07,-41.388671875,175.1865234375,396.9488
2014-09-07,-41.37759780883789,175.21170043945312,396.3676
2014-09-07,-41.37196731567383,175.2241973876953,396.04657
2014-09-07,-41.36628341674805,175.23658752441406,396.1413
2014-09-07,-41.352134704589844,175.21775817871094,395.06467
2014-09-07,-41.34645462036133,175.2301483154297,396.13388
2014-09-07,-41.18768310546875,175.17843627929688,396.4582
2014-09-07,-41.1818733215332,175.19081115722656,394.72885
2014-09-07,-39.86305618286133,174.74049377441406,398.31183
2014-09-07,-39.85734176635742,174.75254821777344,399.0258
2014-09-07,-39.85150146484375,174.7646484375,398.49677
2014-09-07,-39.84882736206055,174.72206115722656,397.01514
2014-09-07,-39.843162536621094,174.73422241210938,396.34955
2014-09-07,-39.84013748168945,174.6913604736328,397.3025
2014-09-07,-39.839656829833984,174.78846740722656,396.5945
2014-09-07,-39.83458709716797,174.70362854003906,396.17065
2014-09-07,-39.831607818603516,174.75836181640625,396.0518
2014-09-07,-39.8289794921875,174.7158203125,395.8521
2014-09-07,-39.825706481933594,174.7703399658203,396.7254
2014-09-07,-39.823307037353516,174.7279815673828,395.65826
2014-09-07,-39.82033920288086,174.68519592285156,396.88712
2014-09-07,-39.81976318359375,174.7821807861328,395.3728
2014-09-07,-39.81758499145508,174.74002075195312,395.49036
2014-09-07,-39.81478500366211,174.69744873046875,396.96954
2014-09-07,-39.811737060546875,174.75209045410156,395.85974
2014-09-07,-39.80917739868164,174.7096405029297,395.87628
2014-09-07,-39.805824279785156,174.76406860351562,397.00778
2014-09-07,-39.803504943847656,174.72178649902344,396.15787
2014-09-07,-39.78937530517578,174.70347595214844,397.6365
2014-09-07,-39.78369903564453,174.71560668945312,396.55203
2014-09-07,-39.777976989746094,174.72764587402344,395.77814
2014-09-07,-39.76952362060547,174.69725036621094,395.6875
2014-09-07,-39.348854064941406,174.62075805664062,394.53995
2014-09-07,-39.32905578613281,174.61460876464844,396.03546
2014-09-07,-39.315223693847656,174.59666442871094,394.2103
2014-09-07,-39.309295654296875,174.6085205078125,394.31915
2014-09-07,-39.30415725708008,174.52435302734375,396.03094
2014-09-07,-39.284324645996094,174.51824951171875,395.70868
2014-09-07,-39.28356170654297,174.61415100097656,394.4445
2014-09-07,-39.28154754638672,174.57254028320312,394.77994
2014-09-07,-39.27875900268555,174.53038024902344,395.34213
2014-09-07,-39.273136138916016,174.54246520996094,395.26205
2014-09-07,-39.26744842529297,174.5544891357422,395.15387
2014-09-07,-39.26171112060547,174.56642150878906,395.17957
2014-09-07,-39.25892639160156,174.52427673339844,395.4242
2014-09-07,-39.25585174560547,174.578369140625,395.66968
2014-09-07,-39.25330352783203,174.53636169433594,395.2341
2014-09-07,-39.24992370605469,174.5902099609375,395.67233
2014-09-07,-39.247615814208984,174.5483856201172,394.13388
2014-09-07,-39.24467468261719,174.5060577392578,395.6794
2014-09-07,-39.241878509521484,174.560302734375,395.02646
2014-09-07,-39.239105224609375,174.5181884765625,395.74054
2014-09-07,-39.23347854614258,174.53025817871094,396.1192
2014-09-07,-39.2300910949707,174.58409118652344,393.9926
2014-09-07,-39.227787017822266,174.5422821044922,395.09976
2014-09-07,-39.22412109375,174.59579467773438,394.7498
2014-09-07,-39.2161865234375,174.56613159179688,395.3302
2014-09-07,-39.21366882324219,174.52418518066406,392.1933
2014-09-07,-39.20505142211914,174.49392700195312,394.8471
2014-09-07,-39.20223617553711,174.54811096191406,393.79245
2014-09-07,-39.196372985839844,174.56004333496094,395.24796
2014-09-07,-39.19044494628906,174.57186889648438,397.24274
2014-09-07,-39.18447494506836,174.5835723876953,397.38214
2014-09-07,-39.18242263793945,174.54202270507812,395.11682
2014-09-07,-39.17655944824219,174.553955078125,395.36075
2014-09-07,-39.17062759399414,174.56578063964844,395.18436
2014-09-07,-39.168296813964844,174.5239715576172,392.86792
2014-09-07,-39.16465759277344,174.5774688720703,395.35544
2014-09-07,-39.148353576660156,174.51773071289062,395.44427
2014-09-07,-39.144832611083984,174.5713653564453,395.60135
2014-09-07,-39.14262008666992,174.52964782714844,394.99628
2014-09-07,-39.13676452636719,174.5415802001953,394.6529
2014-09-07,-39.1308479309082,174.55340576171875,394.93863
2014-09-07,-39.1284065246582,174.51148986816406,393.66602
2014-09-07,-39.12267303466797,174.52340698242188,393.46857
2014-09-07,-39.116817474365234,174.5353240966797,395.2445
2014-09-07,-39.099884033203125,174.47508239746094,393.75592
2014-09-07,-39.094268798828125,174.4871368408203,395.00552
2014-09-07,-39.084991455078125,174.55259704589844,395.80927
2014-09-07,-39.079986572265625,174.46893310546875,395.79236
2014-09-07,-39.07436752319336,174.48097229003906,396.4407
2014-09-07,-39.06867980957031,174.4929656982422,393.90094
2014-09-07,-39.06509017944336,174.5464324951172,392.9035
2014-09-07,-39.06294250488281,174.50485229492188,395.08017
2014-09-07,-39.06005859375,174.46275329589844,396.17606
2014-09-07,-39.05708312988281,174.5167694091797,396.1278
2014-09-07,-39.054443359375,174.47479248046875,396.11853
2014-09-07,-39.04875946044922,174.48678588867188,393.324
2014-09-07,-39.037166595458984,174.51058959960938,395.6484
2014-09-07,-39.031246185302734,174.5223846435547,395.24258
2014-09-07,-39.028804779052734,174.48056030273438,395.3452
2014-09-07,-39.0230712890625,174.49246215820312,396.05246
2014-09-07,-39.0172119140625,174.50436401367188,394.70114
2014-09-07,-39.011287689208984,174.5161590576172,394.53137
2014-09-07,-39.00885009765625,174.47434997558594,395.3229
2014-09-07,-39.00576400756836,174.43206787109375,395.37488
2014-09-07,-39.00532531738281,174.52783203125,394.03885
2014-09-07,-39.00311279296875,174.48623657226562,395.71704
2014-09-07,-39.00020217895508,174.44415283203125,396.7548
2014-09-07,-38.99458312988281,174.4561767578125,396.54703
2014-09-07,-38.9913330078125,174.5099334716797,394.07144
2014-09-07,-38.988895416259766,174.46815490722656,394.0289
2014-09-07,-38.98537063598633,174.5216064453125,394.46945
2014-09-07,-38.983158111572266,174.4800262451172,395.5008
2014-09-07,-38.98025131225586,174.43797302246094,396.46375
2014-09-07,-38.97137451171875,174.5037078857422,396.82642
2014-09-07,-38.96894454956055,174.46197509765625,396.54337
2014-09-07,-38.96541213989258,174.515380859375,396.82855
2014-09-07,-38.96321105957031,174.47384643554688,395.42218
2014-09-07,-38.95734786987305,174.48573303222656,396.45288
2014-09-07,-38.95142364501953,174.49752807617188,396.0381
2014-09-07,-38.93147277832031,174.4913330078125,396.05084
2014-09-07,-35.473243713378906,173.44784545898438,395.0807
2014-09-07,-35.46107864379883,173.46986389160156,395.58398
2014-09-07,-35.38747024536133,173.43601989746094,398.16718
2014-09-07,-35.381378173828125,173.4469451904297,396.39938
2014-09-07,-35.36749267578125,173.43035888671875,395.43454
2014-09-07,-35.35356903076172,173.4136505126953,394.6421
2014-09-07,-35.34271240234375,173.3462677001953,402.08102
2014-09-07,-35.3414192199707,173.4356231689453,395.67838
2014-09-07,-35.33957290649414,173.3968505859375,392.28528
2014-09-07,-35.33125305175781,173.36886596679688,395.54633
2014-09-07,-35.32543182373047,173.3800811767578,397.1049
2014-09-07,-35.32270812988281,173.34063720703125,396.50098
2014-09-07,-35.321434020996094,173.42996215820312,392.85657
2014-09-07,-35.31956481933594,173.39120483398438,396.7379
2014-09-07,-35.3170051574707,173.35195922851562,396.2494
2014-09-07,-35.31124496459961,173.36322021484375,396.74765
2014-09-07,-35.307518005371094,173.4133758544922,398.6067
2014-09-07,-35.30542755126953,173.3744354248047,396.91776
2014-09-07,-35.30272674560547,173.33502197265625,394.55142
2014-09-07,-35.30142593383789,173.42430114746094,397.57217
2014-09-07,-35.299556732177734,173.38555908203125,397.6905
2014-09-07,-35.297019958496094,173.34632873535156,395.16537
2014-09-07,-35.29356384277344,173.3966827392578,397.78857
2014-09-07,-35.291255950927734,173.3575897216797,396.62253
2014-09-07,-35.28750991821289,173.40773010253906,398.2398
2014-09-07,-35.285430908203125,173.36878967285156,396.16193
2014-09-07,-35.28275680541992,173.3293914794922,395.19556
2014-09-07,-35.28141403198242,173.41864013671875,396.6684
2014-09-07,-35.27956008911133,173.37991333007812,396.00073
2014-09-07,-35.27705001831055,173.34071350097656,396.54337
2014-09-07,-35.27128601074219,173.35195922851562,395.71133
2014-09-07,-35.26546096801758,173.36317443847656,396.34656
